Tilapia,Rainbow Trout,Barramundi,strawberry,lettuce,profit
1756.846038684731,1677.4121547971054,1885.0154016856138,4013.152167968178,7572.19577335556,149373.182340879
1839.7175812934702,1942.096755611063,2000,643.02010914381,8000.0,117758.02389123311
1506.487552744235,1881.5713245778813,1745.5334553924286,0.0,0.0,46816.46066891275
2000.0,2000,2000,5000.0,8000.0,170000.0
1812.4220852248993,1913.6746614559095,1872.1579265305886,0.0,6565.5709529386595,98145.66988524457
1920.8207981584658,1829.3994484694354,1639.7335866434978,0.0,3501.4949786344264,73522.91453333819
1981.327387950718,2000,2000,3564.459815348331,8000.0,153217.02557369566
2000,2000,1945.8096495367804,2449.1300161559493,7993.922126977025,139823.94010336025
1852.5839371941586,1797.630258780448,1633.9716118950719,0.0,4113.496964130524,77106.9592570606
1885.5421646897391,1752.781043915994,1644.797918606688,0.0,4554.367284532089,80193.74759091264
1828.750578998989,1803.1126871743152,1983.961176779342,1648.2166464814873,7980.141660462589,127647.33283006852
1837.284774267071,1829.9746028818672,1949.477222124773,0.0,5344.040789301843,89399.80739237426
1605.2227820788519,1981.720922219682,1732.478972354696,2503.712962986579,7914.2062700705565,134799.6242489516
1987.5525041805163,1941.670388136804,1922.000560711588,368.96921651522814,7980.33686472755,114687.06219859893
1866.4106286786362,1916.0715640494038,1939.3721787663283,1738.9661026773515,8000.0,129791.31861996505
1938.9691291896395,1880.2365436734026,1842.4825414014833,0.0,8000.0,108799.97475507634
1795.5819015451364,1876.9385450380648,1884.8063816678132,1442.7327711465891,8000.0,124922.22272317516
2000,1986.6063308617538,2000,2964.683183506161,7911.878279579702,145617.50576424185
1892.5297252875646,1997.602705344261,1998.047110114131,4654.398353908847,8000.0,165195.2271369395
1692.9036026528331,1848.2420107609337,2000,0.0,5650.993826556471,91302.45056871358
2000,1913.1253599061133,2000,4755.910092222288,7882.311244168718,165446.5671890629
2000,1987.7825618927134,2000,3837.6185021636406,7998.063325077157,156380.15935083476
2000,2000,1933.0342992369806,2571.0636740429004,8000.0,141154.68161126744
1998.7043350612503,1998.761080499947,1981.3256914711587,5000.0,7912.234713935922,169155.49974117524
1978.2081796349787,2000.0,1999.7987232064256,4495.307482004432,7997.65285954231,163973.99451244227
1973.077017299628,1902.1537389823532,1919.695606221926,540.8202365621289,6822.816314771838,107768.96559935671
1465.6291985613727,1873.171632835193,1764.5896889612945,0.0,1830.3503560136091,59907.05768899315
1542.8553670933059,1904.3851937439579,1722.5152056037093,0.0,1599.933785355887,58668.51150695999
1478.7159713785636,1671.181613507281,1820.9463074907796,68.39467208596108,8000.0,104065.6692058277
1542.1310430390345,1877.8808406260914,1863.9726180325185,0.0,1204.4461682316437,56945.68660753875
1930.2152961914808,2000,2000.0,3078.378464223928,8000.0,147220.69725833792
2000.0,1945.3344689702344,1866.874061849619,2019.888751011629,8000.0,133552.79481993342
1996.3966381970572,2000,2000,4245.426108974288,8000.0,161221.71933148114
1562.2724530319979,1916.762108091974,1777.009302809883,0.0,2042.2804420970726,62680.154485446335
1814.105769233568,1891.396168665822,1920.562373336535,1199.5880274859016,8000.0,122733.54692349501
1554.0730967372415,1864.4233036718201,1763.9275743560781,0.0,2923.9618733138705,68360.74403896523
1783.8291689543353,1797.305628027244,1856.803214302324,550.0976577138231,8000.0,113409.02543545637
1755.0157949261863,1720.64608833974,1865.8975485780118,0.0,2206.990212297095,64151.22597281476
1856.8289180043137,1823.452153600878,1688.1937416056585,0.0,3094.5052087189506,70549.42414130796
1698.8626080487477,1694.7151665745569,1668.075974294076,0.0,261.15200987768037,47413.301736640744
1726.4909740544103,1845.3359761140314,1828.8954885733217,0.0,2449.944417906496,66589.8484950765
1814.4504632267574,1934.3048241236702,1953.6083665057931,1442.936362668871,8000.0,126318.34695584083
1985.3891154963185,1945.5613068651305,1985.9142776469469,4539.518447561883,7999.257858714362,163865.51312099196
1933.8357348750499,1910.6728250804126,1933.8606222436472,478.61103578213806,8000.0,115534.07263243874
1958.4078922525227,1910.0206157538742,1939.3975481350776,302.6001667421642,8000.0,113713.19881886628
2000,2000,1999.270737471582,3475.2359446409578,7834.763411537316,151107.47906619648
1476.0645437306907,1824.9550028592994,1760.6398801773348,0.0,775.1809857374931,51808.46278307801
1787.0742170243907,2000,2000,1885.9761617090749,8000.0,132386.842994996
1462.5191844362396,1880.9095524135903,1663.6301675568513,0.0,583.7598967436355,49915.290742149446
1728.0620094423264,1874.408983155341,1961.4752381033704,0.0,4867.998274616307,85748.26376965162
1961.5062318080222,1940.998548536025,1986.810676326846,4394.858077803416,7995.151929261986,161953.84106095388
1948.5969355796585,2000.0,2000.0,3240.995423057871,8000.0,149235.72545652892
1842.167956509735,1952.9720206340312,1921.3160965319714,1066.9649906236814,8000.0,122014.85075846288
1984.4549862082067,1943.1881574806637,1942.011651190988,3422.0500595623457,8000.0,150438.96368109717
1693.949057145238,1699.6703374785316,1679.472502737309,0.0,1194.641471994469,54310.22247413497
1754.5831770243667,2000,1894.284583730964,808.8677896384269,8000.0,118607.79443628596
1987.6771461940198,2000,2000.0,4031.854762120513,8000.0,158683.2552639561
1753.98846171579,1752.0110749695375,1953.0289373198882,0.0,4805.5417535833085,84168.49706838377
1930.414918464606,1978.0658339924573,1881.2973726161406,0.0,6900.798886054597,102137.32841923405
1781.3440479165388,1645.7511036431908,1870.0158018599711,1593.3944315509686,7920.9215141516115,123537.13377403781
1921.734608698647,1975.6801993454471,2000,2340.450901657665,8000.0,138358.1747135739
1838.0259275259941,1970.37900217403,1658.3289157087816,0.0,7958.158843756714,106849.91228874624
2000,1922.166396859405,1953.924086199564,4364.948984237215,7988.457167090956,161310.62750915083
1980.070572432427,2000,1975.0964480037246,3669.9257908853415,8000.0,154182.5976613342
1950.7300244508606,2000,1873.5309617271398,4214.992737876354,8000.0,159284.33554779313
1958.1979769160027,1877.1740432280737,1896.0616606875972,0.0,5928.253665073618,94419.58194935246
1900.7434658253921,1715.344771730631,1989.067557771374,3700.913085235991,7542.698605648579,147964.48423548747
1714.7768268795367,1832.118535432834,1592.2911704740102,133.9141248033533,3992.898261268134,76749.45108913806
1870.8758872511835,1934.919155971991,1904.7218102320085,1171.7402324623952,7498.9320592547465,119451.98499895897
1823.9181202373093,2000,1992.964494001895,2878.2061412153625,7929.970208797648,143576.54703356128
1555.4781687472896,1831.2553185616744,1994.6154316071386,0.0,4509.811621450757,81843.18893843715
1959.1072271135529,1968.998050892078,1917.7581519530709,2725.3753511789146,8000.0,142195.66669192177
1960.7037595374604,2000.0,2000,3287.5568244104893,8000.0,149860.5854799239
1997.9814428704794,1991.989532767183,1898.0125103791997,4886.84369935525,8000.0,167573.27744407806
1990.930244773978,1997.6730517290441,1995.227832357397,2827.747116693286,7987.168843830656,144574.36122569663
1503.8839249063271,1788.2952254314046,1696.2755108637825,0.0,7580.718252830842,100333.10217031976
1906.7353674343562,2000,1993.3129855975246,3155.823318672892,8000.0,147887.8279246213
1922.3633104478383,1981.5073353161474,1882.0207052728754,0.0,7240.660703536603,104586.61367966548
1730.9051779421886,1853.7372745826394,1989.157366756141,0.0,4849.219716731562,85702.12560528694
1763.1227664749445,1716.4132620883547,2000,2750.966000504619,7856.727141090965,138378.46936497124
1927.2416976404481,1989.218919972117,2000,1820.6508535397465,7781.27059161179,130916.64277345085
1992.2607640340436,1999.2563206832094,2000.0,4578.139350198966,7920.069117145363,164465.3061166823
1742.0386999591963,1991.2149653341476,2000,2292.1898467810643,7979.626996728107,136548.118501995
1987.104864570471,1994.6733417883586,2000.0,4151.757239617475,8000.0,160016.8514494396
1943.956929201283,1987.117315397097,1934.7518265422057,1262.0369709178628,7956.818658960233,125152.9540639109
1998.4700393299827,1840.1412479145158,1982.4630394570556,3186.8103304371325,7805.33892862036,145771.04021459393
1718.4553102549266,1903.4918833218587,1933.6660769159298,3548.4454498634414,7568.5632383370175,146434.81747052167
1817.3976629371705,2000,1857.4333978040554,83.57621532909299,8000.0,110265.60171641823
